Configured with email username  None , password  False
_sa_instance_state, endtime, id, intensity, negativity, news_id, rating, rating2, starttime, time_spent, user_id
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea65e0>","2021-08-06 09:07:43.372288","26","None","None","52","0.0","0.0","2021-08-06 09:07:43.372268","None","None",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea66d0>","2021-08-09 11:09:35.116251","27","None","None","13","1.5","0.0","2021-08-09 11:09:30","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea67c0>","2021-08-09 11:10:03.987827","28","None","None","28","2.0","0.0","2021-08-09 11:10:01","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea68b0>","2021-08-09 11:10:32.333465","29","None","None","32","0.0","0.0","2021-08-09 11:10:32.333457","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea69a0>","2021-08-09 11:11:07.859948","30","None","None","38","2.0","0.0","2021-08-09 11:11:00","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6a90>","2021-08-09 11:11:30.210766","31","None","None","31","3.0","0.0","2021-08-09 11:11:24","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6b80>","2021-08-09 11:40:34.880181","32","None","None","25","2.0","0.0","2021-08-09 11:40:31","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6c70>","2021-08-09 11:40:50.340697","33","None","None","25","2.0","0.0","2021-08-09 11:40:47","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6d60>","2021-08-11 07:08:49.367169","34","None","None","21","3.0","0.0","2021-08-11 07:08:22","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6e50>","2021-08-11 08:03:34.819776","35","None","None","57","3.0","0.0","2021-08-11 08:03:29","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96ea6f40>","2021-08-11 08:03:51.369601","36","None","None","2","1.0","0.0","2021-08-11 08:03:45","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b070>","2021-08-11 08:45:57.999388","37","None","None","40","0.0","0.0","2021-08-11 08:45:57.999378","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b160>","2021-08-11 08:46:49.761334","38","1","0","40","0.0","0.0","2021-08-11 08:46:49.761321","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b250>","2021-08-11 08:46:59.979912","39","1","0","40","3.0","0.0","2021-08-11 08:46:54","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b340>","2021-08-11 08:50:35.336840","40","1","0","45","3.0","0.0","2021-08-11 08:50:31","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b430>","2021-08-11 08:51:18.268367","41","0","0","5","1.0","0.0","2021-08-11 08:51:15","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b520>","2021-08-11 08:51:34.085623","42","0","1","12","3.0","0.0","2021-08-11 08:51:29","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b610>","2021-08-11 10:41:29.386663","43","0","0","21","2.0","0.0","2021-08-11 10:41:25","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b700>","2021-08-11 10:50:06.731186","44","0","0","39","2.0","0.0","2021-08-11 10:50:03","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b7f0>","2021-08-11 10:50:34.500353","45","0","0","73","4.0","0.0","2021-08-11 10:50:30","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b8e0>","2021-08-11 10:57:22.957960","46","1","0","71","3.0","0.0","2021-08-11 10:57:16","None","4",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2b9d0>","2021-08-11 11:14:45.526242","47","0","0","60","3.0","0.0","2021-08-11 11:14:42","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2bac0>","2021-08-11 11:14:58.997153","48","1","0","86","3.0","0.0","2021-08-11 11:14:56","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2bbb0>","2021-08-11 11:15:25.338132","49","0","0","73","0.5","0.0","2021-08-11 11:15:22","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2bca0>","2021-08-11 11:17:15.381100","50","0","0","40","2.0","0.0","2021-08-11 11:17:11","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2bd90>","2021-08-11 11:17:38.481810","51","0","1","84","5.0","0.0","2021-08-11 11:17:35","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2be80>","2021-08-11 11:31:20.193618","52","0","0","63","2.0","0.0","2021-08-11 11:31:17","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e2bf70>","2021-08-11 11:31:38.596277","53","0","0","83","3.0","0.0","2021-08-11 11:31:35","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e300a0>","2021-08-11 11:31:56.533176","54","0","0","57","2.0","0.0","2021-08-11 11:31:53","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30190>","2021-08-12 08:14:59.329826","55","0","1","95","3.0","0.0","2021-08-12 08:14:55","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30280>","2021-08-12 08:15:35.727926","56","0","1","18","4.0","0.0","2021-08-12 08:15:31","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30370>","2021-08-12 08:16:16.476282","57","0","0","6","2.0","0.0","2021-08-12 08:15:59","None","7",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30460>","2021-08-13 10:27:04.597197","58","0","0","30","3.0","0.0","2021-08-13 10:27:02","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30550>","2021-08-13 10:27:31.439241","59","0","0","83","0.0","0.0","2021-08-13 10:27:31.439232","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30640>","2021-08-13 10:27:43.376544","60","0","0","83","1.5","0.0","2021-08-13 10:27:38","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30730>","2021-08-16 09:00:25.901184","61","0","1","14","2.0","0.0","2021-08-16 09:00:22","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30820>","2021-08-18 06:40:57.073113","62","1","0","62","0.0","0.0","2021-08-18 06:40:57.073108","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30910>","2021-08-18 06:41:54.640085","63","0","1","53","3.0","0.0","2021-08-18 06:41:40","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30a00>","2021-08-18 06:42:01.278368","64","0","0","39","0.0","0.0","2021-08-18 06:42:01.278362","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30af0>","2021-08-18 06:42:30.672271","65","0","0","20","0.0","0.0","2021-08-18 06:42:30.672266","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30be0>","2021-08-18 06:44:54.925051","66","0","0","35","0.0","0.0","2021-08-18 06:44:54.925039","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30cd0>","2021-08-18 07:22:59.733108","67","0","0","4","4.5","0.0","2021-08-18 07:22:53","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30dc0>","2021-08-18 07:23:28.811582","68","0","0","93","0.0","0.0","2021-08-18 07:23:28.811576","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30eb0>","2021-08-18 08:23:52.569113","69","1","1","37","2.5","0.0","2021-08-18 08:22:48","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e30fa0>","2021-08-18 08:27:13.511173","70","0","0","30","4.0","0.0","2021-08-18 08:26:38","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e360d0>","2021-08-18 08:28:21.898401","71","1","0","62","0.0","0.0","2021-08-18 08:28:21.898396","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e361c0>","2021-08-18 08:31:31.664052","72","0","0","80","4.0","0.0","2021-08-18 08:31:17","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e362b0>","2021-08-18 08:32:33.617815","73","0","0","85","0.0","0.0","2021-08-18 08:32:33.617803","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e363a0>","2021-08-18 08:34:38.314892","74","0","0","6","3.0","0.0","2021-08-18 08:34:15","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36490>","2021-08-18 08:34:50.016813","75","0","0","65","0.0","0.0","2021-08-18 08:34:50.016800","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36580>","2021-08-18 08:36:05.354718","76","0","0","42","3.0","0.0","2021-08-18 08:35:55","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36670>","2021-08-18 08:39:11.282462","77","1","0","3","4.0","0.0","2021-08-18 08:38:56","None","9",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36760>","2021-08-19 08:45:01.681350","78","0","0","97","2.0","0.0","2021-08-19 08:44:55","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36850>","2021-08-19 09:21:48.250789","79","0","0","97","0.0","0.0","2021-08-19 09:21:48.250782","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36940>","2021-08-19 09:22:04.227553","80","2","0","87","0.0","0.0","2021-08-19 09:22:04.227545","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36a30>","2021-08-19 09:27:17.878312","81","0","0","75","2.0","0.0","2021-08-19 09:27:14","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36b20>","2021-08-19 10:05:06.771780","82","0","1","89","4.0","0.0","2021-08-19 10:05:02","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36c10>","2021-08-19 10:38:28.364552","83","1","0","20","2.0","0.0","2021-08-19 10:38:24","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36d00>","2021-08-23 14:01:10.570598","84","0","0","28","0.0","0.0","2021-08-23 14:01:10.570586","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36df0>","2021-08-23 14:01:11.943659","85","0","0","28","0.0","0.0","2021-08-23 14:01:11.943648","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36ee0>","2021-08-23 14:01:14.561746","86","0","0","28","0.0","0.0","2021-08-23 14:01:14.561740","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e36fd0>","2021-08-24 10:55:26.108664","87","0","1","2","0.0","0.0","2021-08-24 10:55:26.108656","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b100>","2021-08-27 08:04:35.555295","88","0","0","67","0.0","0.0","2021-08-27 08:04:35.555285","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b1f0>","2021-08-27 08:04:37.990659","89","0","0","67","0.0","0.0","2021-08-27 08:04:37.990647","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b2e0>","2021-08-29 09:04:24.538897","90","0","2","13","4.0","0.0","2021-08-29 09:04:19","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b3d0>","2021-08-30 15:55:51.635014","91","1","1","1","0.0","0.0","2021-08-30 15:55:51.635002","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b4c0>","2021-08-31 07:17:31.443950","92","0","0","79","0.0","0.0","2021-08-31 07:17:31.443933","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b5b0>","2021-08-31 07:18:53.777793","93","1","1","69","2.0","0.0","2021-08-31 07:17:37","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b6a0>","2021-09-01 09:45:44.174025","94","0","0","39","0.0","0.0","2021-09-01 09:45:44.174009","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b790>","2021-09-01 09:46:43.408791","95","0","1","94","0.0","0.0","2021-09-01 09:46:43.408781","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b880>","2021-09-01 09:46:52.306053","96","0","0","39","0.0","0.0","2021-09-01 09:46:52.306048","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3b970>","2021-09-02 10:37:05.745703","97","0","1","28","1.5","0.0","2021-09-02 10:36:55","None","8",
"<sqlalchemy.orm.state.InstanceState object at 0x7f8f96e3ba60>","2021-09-07 09:36:07.499505","98","0","0","41","3.0","0.0","2021-09-07 09:35:51","None","8",

